Type,Team,Fix Date,Finish Date,Penalty Cost,Total Penalty Cost
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeB,T4,10.0,15.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T1,5.0,8.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T1,12.0,15.0,0,0
,,,,0,0
,,,,0,0
TypeB,T4,5.0,10.0,0,0
TypeB,T4,0.0,5.0,0,0
,,,,0,0
TypeB,T2,23.0,28.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeB,T4,15.0,20.0,0,0
TypeA,T1,2.0,5.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T3,12.0,15.0,0,0
,,,,0,0
,,,,0,0
TypeB,T2,18.0,23.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T3,2.0,4.0,0,0
,,,,0,0
TypeA,T3,15.0,17.0,0,0
,,,,0,0
,,,,0,0
TypeA,T1,10.0,12.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T3,17.0,19.0,0,0
,,,,0,0
TypeA,T3,0.0,2.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeA,T1,0.0,2.0,0,0
TypeA,T1,8.0,10.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeB,T2,0.0,9.0,0,0
TypeA,T3,4.0,12.0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
TypeB,T2,9.0,18.0,0,0
